,location,date,new_cases
200,World,2020-08-09,232995.0
201,World,2020-08-10,233219.0
202,World,2020-08-11,265561.0
203,World,2020-08-12,275076.0
204,World,2020-08-13,290116.0
205,World,2020-08-14,307084.0
206,World,2020-08-15,249015.0
207,World,2020-08-16,210077.0
208,World,2020-08-17,212885.0
209,World,2020-08-18,259418.0
210,World,2020-08-19,277467.0
211,World,2020-08-20,271469.0
212,World,2020-08-21,261960.0
213,World,2020-08-22,263526.0
214,World,2020-08-23,202748.0
215,World,2020-08-24,228200.0
216,World,2020-08-25,245200.0
217,World,2020-08-26,281681.0
218,World,2020-08-27,287253.0
219,World,2020-08-28,285278.0
220,World,2020-08-29,260710.0
221,World,2020-08-30,219727.0
222,World,2020-08-31,264310.0
223,World,2020-09-01,266881.0
224,World,2020-09-02,281888.0
225,World,2020-09-03,285413.0
226,World,2020-09-04,301721.0
227,World,2020-09-05,273692.0
228,World,2020-09-06,228988.0
229,World,2020-09-07,225236.0
230,World,2020-09-08,246502.0
231,World,2020-09-09,285293.0
232,World,2020-09-10,304397.0
233,World,2020-09-11,316356.0
234,World,2020-09-12,288688.0
235,World,2020-09-13,248823.0
236,World,2020-09-14,267150.0
237,World,2020-09-15,280530.0
238,World,2020-09-16,304954.0
239,World,2020-09-17,315569.0
240,World,2020-09-18,326623.0
241,World,2020-09-19,293081.0
242,World,2020-09-20,255105.0
243,World,2020-09-21,259928.0
244,World,2020-09-22,284298.0
245,World,2020-09-23,311639.0
246,World,2020-09-24,320899.0
247,World,2020-09-25,330005.0
248,World,2020-09-26,285665.0
249,World,2020-09-27,247064.0
250,World,2020-09-28,262754.0
251,World,2020-09-29,282773.0
252,World,2020-09-30,324527.0
253,World,2020-10-01,319101.0
254,World,2020-10-02,329474.0
255,World,2020-10-03,297289.0
256,World,2020-10-04,260491.0
257,World,2020-10-05,311370.0
258,World,2020-10-06,316053.0
259,World,2020-10-07,349240.0
260,World,2020-10-08,359291.0
261,World,2020-10-09,360384.0
262,World,2020-10-10,355443.0
263,World,2020-10-11,289426.0
264,World,2020-10-12,290034.0
265,World,2020-10-13,319364.0
266,World,2020-10-14,380683.0
267,World,2020-10-15,406931.0
268,World,2020-10-16,410481.0
269,World,2020-10-17,372034.0
270,World,2020-10-18,331183.0
271,World,2020-10-19,374958.0
272,World,2020-10-20,388787.0
273,World,2020-10-21,439485.0
274,World,2020-10-22,482019.0
275,World,2020-10-23,493822.0
276,World,2020-10-24,456218.0
277,World,2020-10-25,358779.0
278,World,2020-10-26,483109.0
279,World,2020-10-27,468402.0
280,World,2020-10-28,521659.0
281,World,2020-10-29,551378.0
282,World,2020-10-30,571719.0
283,World,2020-10-31,472025.0
284,World,2020-11-01,439104.0
285,World,2020-11-02,548423.0
286,World,2020-11-03,565413.0
287,World,2020-11-04,538604.0
288,World,2020-11-05,619273.0
289,World,2020-11-06,623037.0
290,World,2020-11-07,599024.0
291,World,2020-11-08,490823.0
292,World,2020-11-09,509866.0
293,World,2020-11-10,570649.0
294,World,2020-11-11,624564.0
295,World,2020-11-12,640114.0
296,World,2020-11-13,660873.0
297,World,2020-11-14,586887.0
298,World,2020-11-15,490154.0
299,World,2020-11-16,525661.0
300,World,2020-11-17,602187.0
301,World,2020-11-18,622151.0
302,World,2020-11-19,653934.0
303,World,2020-11-20,674027.0
304,World,2020-11-21,592471.0
305,World,2020-11-22,498012.0
306,World,2020-11-23,534097.0
307,World,2020-11-24,590741.0
308,World,2020-11-25,617006.0
309,World,2020-11-26,589122.0
310,World,2020-11-27,695305.0
311,World,2020-11-28,607472.0
312,World,2020-11-29,495524.0
313,World,2020-11-30,506624.0
314,World,2020-12-01,614801.0
315,World,2020-12-02,640226.0
316,World,2020-12-03,690577.0
317,World,2020-12-04,696324.0
318,World,2020-12-05,642229.0
319,World,2020-12-06,543831.0
320,World,2020-12-07,534946.0
321,World,2020-12-08,630526.0
322,World,2020-12-09,665290.0
323,World,2020-12-10,672113.0
324,World,2020-12-11,705684.0
325,World,2020-12-12,648586.0
326,World,2020-12-13,538700.0
327,World,2020-12-14,551157.0
328,World,2020-12-15,648514.0
329,World,2020-12-16,717498.0
330,World,2020-12-17,738596.0
331,World,2020-12-18,721349.0
332,World,2020-12-19,635358.0
333,World,2020-12-20,547173.0
334,World,2020-12-21,546260.0
335,World,2020-12-22,651350.0
336,World,2020-12-23,682027.0
337,World,2020-12-24,693318.0
338,World,2020-12-25,493149.0
339,World,2020-12-26,532588.0
340,World,2020-12-27,413133.0
341,World,2020-12-28,499174.0
342,World,2020-12-29,671812.0
343,World,2020-12-30,725250.0
344,World,2020-12-31,839727.0
345,World,2021-01-01,563661.0
346,World,2021-01-02,604323.0
347,World,2021-01-03,520258.0
348,World,2021-01-04,557399.0
349,World,2021-01-05,740842.0
350,World,2021-01-06,790944.0
351,World,2021-01-07,869977.0
352,World,2021-01-08,835444.0
353,World,2021-01-09,756256.0
354,World,2021-01-10,601501.0
355,World,2021-01-11,614413.0
356,World,2021-01-12,692504.0
357,World,2021-01-13,743299.0
358,World,2021-01-14,759056.0
359,World,2021-01-15,783853.0
360,World,2021-01-16,656873.0
361,World,2021-01-17,527568.0
362,World,2021-01-18,517227.0
363,World,2021-01-19,592735.0
364,World,2021-01-20,687207.0
365,World,2021-01-21,668753.0
366,World,2021-01-22,663539.0
367,World,2021-01-23,576688.0
368,World,2021-01-24,461948.0
369,World,2021-01-25,481524.0
370,World,2021-01-26,561267.0
371,World,2021-01-27,600990.0
372,World,2021-01-28,615117.0
373,World,2021-01-29,588969.0
374,World,2021-01-30,514826.0
375,World,2021-01-31,396545.0
376,World,2021-02-01,442940.0
377,World,2021-02-02,465407.0
378,World,2021-02-03,525269.0
379,World,2021-02-04,471746.0
380,World,2021-02-05,536471.0
381,World,2021-02-06,435193.0
382,World,2021-02-07,351520.0
383,World,2021-02-08,339900.0
384,World,2021-02-09,407259.0
385,World,2021-02-10,440455.0
386,World,2021-02-11,443770.0
387,World,2021-02-12,429574.0
388,World,2021-02-13,380482.0
389,World,2021-02-14,308631.0
390,World,2021-02-15,280808.0
391,World,2021-02-16,359795.0
392,World,2021-02-17,386361.0
393,World,2021-02-18,410791.0
394,World,2021-02-19,409640.0
395,World,2021-02-20,375195.0
396,World,2021-02-21,319553.0
397,World,2021-02-22,295563.0
398,World,2021-02-23,392740.0
399,World,2021-02-24,444964.0
400,World,2021-02-25,452976.0
401,World,2021-02-26,441959.0
402,World,2021-02-27,396739.0
403,World,2021-02-28,307779.0
404,World,2021-03-01,305494.0
405,World,2021-03-02,387617.0
406,World,2021-03-03,441859.0
407,World,2021-03-04,458444.0
408,World,2021-03-05,449116.0
409,World,2021-03-06,414033.0
410,World,2021-03-07,374439.0
411,World,2021-03-08,305466.0
