,continent,date,new_vaccinations
187,Africa,2020-08-12,0.0
188,Africa,2020-08-13,0.0
189,Africa,2020-08-14,0.0
190,Africa,2020-08-15,0.0
191,Africa,2020-08-16,0.0
192,Africa,2020-08-17,0.0
193,Africa,2020-08-18,0.0
194,Africa,2020-08-19,0.0
195,Africa,2020-08-20,0.0
196,Africa,2020-08-21,0.0
197,Africa,2020-08-22,0.0
198,Africa,2020-08-23,0.0
199,Africa,2020-08-24,0.0
200,Africa,2020-08-25,0.0
201,Africa,2020-08-26,0.0
202,Africa,2020-08-27,0.0
203,Africa,2020-08-28,0.0
204,Africa,2020-08-29,0.0
205,Africa,2020-08-30,0.0
206,Africa,2020-08-31,0.0
207,Africa,2020-09-01,0.0
208,Africa,2020-09-02,0.0
209,Africa,2020-09-03,0.0
210,Africa,2020-09-04,0.0
211,Africa,2020-09-05,0.0
212,Africa,2020-09-06,0.0
213,Africa,2020-09-07,0.0
214,Africa,2020-09-08,0.0
215,Africa,2020-09-09,0.0
216,Africa,2020-09-10,0.0
217,Africa,2020-09-11,0.0
218,Africa,2020-09-12,0.0
219,Africa,2020-09-13,0.0
220,Africa,2020-09-14,0.0
221,Africa,2020-09-15,0.0
222,Africa,2020-09-16,0.0
223,Africa,2020-09-17,0.0
224,Africa,2020-09-18,0.0
225,Africa,2020-09-19,0.0
226,Africa,2020-09-20,0.0
227,Africa,2020-09-21,0.0
228,Africa,2020-09-22,0.0
229,Africa,2020-09-23,0.0
230,Africa,2020-09-24,0.0
231,Africa,2020-09-25,0.0
232,Africa,2020-09-26,0.0
233,Africa,2020-09-27,0.0
234,Africa,2020-09-28,0.0
235,Africa,2020-09-29,0.0
236,Africa,2020-09-30,0.0
237,Africa,2020-10-01,0.0
238,Africa,2020-10-02,0.0
239,Africa,2020-10-03,0.0
240,Africa,2020-10-04,0.0
241,Africa,2020-10-05,0.0
242,Africa,2020-10-06,0.0
243,Africa,2020-10-07,0.0
244,Africa,2020-10-08,0.0
245,Africa,2020-10-09,0.0
246,Africa,2020-10-10,0.0
247,Africa,2020-10-11,0.0
248,Africa,2020-10-12,0.0
249,Africa,2020-10-13,0.0
250,Africa,2020-10-14,0.0
251,Africa,2020-10-15,0.0
252,Africa,2020-10-16,0.0
253,Africa,2020-10-17,0.0
254,Africa,2020-10-18,0.0
255,Africa,2020-10-19,0.0
256,Africa,2020-10-20,0.0
257,Africa,2020-10-21,0.0
258,Africa,2020-10-22,0.0
259,Africa,2020-10-23,0.0
260,Africa,2020-10-24,0.0
261,Africa,2020-10-25,0.0
